date,fromHeight,toHeight,blocksScanned,totalTx,txWithOpReturn,txAlkanes,opReturnBytes,runestoneBytes,alkanesBytes,dieselMints,feeTotalSats,feeAlkanesSats,feeOpReturnSats,btcUsd,weightTotal,weightAlkanes,ugMints,dieselUg,txAlkRunestone,txPureRunes
2025-01-20,880000,880139,140,328518,13223,7,396374,108666,143,5,1194503663,271411,28189449,102145.43,559104071,116171,204,0,7,8827
2025-01-21,880140,880272,133,324412,11033,5,331620,95542,89,1,1022718074,0,33244794,106159.26,527172868,5422,76,0,5,7452
2025-01-22,880273,880422,150,432369,27820,1,490107,266476,18,0,766591777,11581,22106467,103667.11,599086809,1120,670,0,1,22931
2025-01-23,880423,880558,136,326010,20315,0,603382,109947,0,0,680064844,0,18932381,103926.36,538262632,0,706,0,,9303
2025-01-24,880559,880698,140,369243,23499,10,465664,198265,170,4,646619261,7096,16213116,104850.27,559080660,7135,618,0,10,19446
2025-01-25,880699,880826,128,338988,16211,3,362259,138302,51,1,543393854,0,19427113,104733.56,511154969,2141,320,0,3,13755
2025-01-26,880827,880963,137,309651,14843,1,348572,149342,17,0,419787458,0,15858649,102563,546869878,714,564,0,1,12118
2025-01-27,880964,881119,156,332102,13491,4,357712,121078,68,2,613674654,0,16986893,102062.42,621821208,2853,1472,0,4,8859
2025-01-28,881120,881267,148,305953,14533,20,349516,129659,340,18,472442794,0,13906759,101290,577367195,14273,393,0,19,10590
2025-01-29,881268,881422,155,355332,45412,30,651424,421935,534,29,482486544,5624,20939109,103747.25,598006645,21500,1268,0,28,38595
2025-01-30,881423,881567,145,335134,45413,83,640081,401979,1411,83,497096750,42742,23829472,104742.64,559265585,59221,5110,0,82,41013
2025-01-31,881568,881692,125,328684,38815,64,538274,325572,1113,63,494344654,16343,15853960,102411.26,487502262,77470,12717,0,74,40520
2025-02-01,881693,881876,184,357439,21123,48,455447,161027,816,45,477369059,29375,15935866,100623.85,711240322,34246,5886,0,38,12365
2025-02-02,881877,882047,171,383258,21202,2,385593,152233,34,2,456401992,0,16589529,97676.52,637583204,1427,13068,0,2,14515
2025-02-03,882048,882200,153,360484,9341,68,262806,86756,1156,68,610799185,31947,14885686,101460.2,607020248,48518,1607,0,64,5861
2025-02-04,882201,882331,131,308619,7505,51,212142,62997,867,51,505799066,29267,10438371,97795.05,523183253,36384,732,0,56,5243
2025-02-05,882332,882475,144,381126,13091,78,268382,115341,1326,78,548304439,30194,10867101,96638.33,574901309,55654,1035,0,78,10193
2025-02-06,882476,882620,145,428326,8028,89,238422,61860,1513,89,530418503,35361,9797434,96564.62,579092802,63501,588,0,88,4706
2025-02-07,882621,882793,173,498394,19981,99,357321,180221,1683,99,535189190,39193,12050984,96537.08,667197170,70629,1098,0,82,13938
2025-02-08,882794,882953,160,469138,11492,73,289234,96088,1241,72,452014747,45533,11457649,96476.25,626018947,52093,772,0,66,7278
2025-02-09,882954,883096,143,385420,13717,169,320743,104094,2873,169,349363049,114535,8456562,96475.82,566638049,124384,2518,0,170,9832
2025-02-10,883097,883235,139,359522,33171,93,506869,293291,1581,91,458136983,38258,14182193,97444.41,530273051,66361,6085,0,96,30367
2025-02-11,883236,883359,124,337513,11058,87,291252,77430,1479,87,525830099,97200,10123716,95774.08,486268971,62070,3933,0,101,8447
2025-02-12,883360,883492,133,386539,41490,143,581364,353764,2431,141,463679763,157980,21087785,97862.53,529433383,102119,3336,0,155,40408
2025-02-13,883493,883650,158,379906,18969,124,388304,142425,2108,124,567656566,123789,16231229,96625.29,630994724,88474,9791,0,113,13341
2025-02-14,883651,883802,152,346002,22717,150,400781,161530,2550,150,474421238,192249,14807436,97509.03,594491466,107013,14336,0,142,17417
2025-02-15,883803,883962,160,306930,23799,154,382747,173275,2618,154,379761363,122247,10384544,97596.94,603592382,109875,13981,0,139,18190
